index,real,imag,magnitude
649,-0.150677,0.342516,0.374193
650,0.312046,0.276887,0.41718
651,-0.245806,0.138757,0.282266
652,-0.541485,-0.153627,0.562856
653,-0.481351,-0.586535,0.758764
654,-0.40252,-0.572098,0.699513
655,-0.231562,-0.548096,0.595005
656,-0.295358,-0.418872,0.512534
657,0.304369,-0.300533,0.42774
658,0.399545,0.137023,0.422388
659,0.369833,-0.204569,0.42264
660,0.49209,0.214724,0.536898
661,0.536454,0.433107,0.689467
662,0.439093,0.546982,0.701421
663,0.275058,0.179088,0.328222
664,0.391479,-0.0117684,0.391655
665,0.297831,-0.220169,0.370375
666,0.255584,0.348748,0.432376
667,-0.100675,0.455946,0.466928
668,-0.0634033,0.643185,0.646302
669,0.161933,0.331828,0.369232
670,0.128613,-0.143735,0.192876
671,-0.258219,-0.0878028,0.272739
672,-0.343566,0.257914,0.429601
673,-0.117405,0.494017,0.507777
674,0.253809,0.453584,0.519767
675,-0.22417,0.461141,0.51274
676,-0.692019,-0.058041,0.694449
677,-0.269082,-0.447407,0.52209
678,0.257866,-0.0476837,0.262237
679,-0.110493,-0.137547,0.176431
680,0.112268,0.403865,0.419179
681,-0.172256,-0.111191,0.205025
682,0.0896793,0.0924245,0.128781
683,-0.0194523,0.350318,0.350857
684,-0.499777,0.0512876,0.502402
685,-0.553401,-0.137453,0.570216
686,-0.311577,0.0950898,0.325764
687,-0.439466,0.0641435,0.444122
688,-0.315588,0.261796,0.41004
689,-0.511277,-0.371138,0.631781
690,-0.0935336,-0.128374,0.158834
691,0.144672,0.184543,0.234491
692,-0.251046,0.360561,0.43935
693,-0.378823,-0.0734095,0.385871
694,-0.372412,0.283248,0.46789
695,-0.167363,0.305372,0.348227
696,-0.300918,0.381154,0.485623
697,-0.0873858,0.548713,0.555628
698,-0.651455,0.492336,0.816571
699,-0.161704,-0.104776,0.192682
700,-0.301283,-0.46129,0.550963
701,-0.471242,-0.276039,0.546138
702,-0.318391,-0.510372,0.601542
703,0.362562,-0.201954,0.415014
704,0.63998,0.0728406,0.644111
705,0.683147,0.104273,0.691059
706,-0.0829996,0.183098,0.201032
707,-0.501557,-0.108644,0.513189
708,-0.146419,-0.646934,0.663297
709,0.468435,-0.246047,0.529123
710,0.818758,-0.00822722,0.8188
711,0.630424,0.0203379,0.630752
712,0.557075,0.0326956,0.558034
713,0.479087,-0.140306,0.49921
714,-0.0164562,0.237584,0.238154
715,0.46648,0.264441,0.53622
716,0.427316,0.487637,0.648374
717,-0.142031,0.2252,0.266248
718,0.29095,-0.05171,0.29551
719,0.311217,0.306983,0.437144
720,0.515529,0.442459,0.679367
721,-0.0217422,0.0232616,0.0318406
722,0.198463,0.0704891,0.21061
723,-0.396124,0.172979,0.432245
724,-0.373884,0.31352,0.487938
725,-0.273831,-0.356568,0.449582
726,0.135042,-0.443992,0.464074
727,0.346349,-0.0615954,0.351784
728,0.00254357,0.379584,0.379593
729,0.234945,0.578613,0.624493
730,-0.141352,0.723922,0.737593
731,-0.137648,-0.101981,0.17131
732,-0.236028,0.334185,0.409132
733,0.0363325,0.0382424,0.0527497
734,-0.31002,-0.0878718,0.322232
735,0.138293,0.229663,0.268086
736,-0.205321,-0.340612,0.39771
737,0.151629,0.295021,0.331706
738,0.26835,0.277416,0.385968
739,0.0155228,0.760994,0.761152
740,-0.417194,0.319605,0.525546
741,-0.654966,-0.239844,0.6975
742,-0.214076,0.0336456,0.216704
743,-0.110151,-0.445913,0.459317
744,0.217172,-0.561694,0.602215
745,0.588645,-0.0707843,0.592885
746,-0.12174,0.0227583,0.123849
747,-0.244326,0.155129,0.289413
748,0.0122487,-0.246874,0.247178
749,-0.343949,-0.297395,0.454692
750,-0.193826,-0.602977,0.633364
751,0.328891,-0.285285,0.435382
752,0.672312,-0.191139,0.698954
753,0.0477425,-0.0302305,0.0565087
754,0.394962,0.123605,0.413852
